Form Code (Ascending),Item Code,Page,Stat Code,Data Type,Sequence,Literal,Unit of measure,List Code,Minimum Value Warning,Maximum Value Warning,Minimum Value Error,Maximum Value Error,Entry Places,Decimal Places,Entry Required,Required message,Read only,Hide Item,Not extractable,Default value,Parent item code,Sub-Form Code,Cell - Line number,Cell - Column number,Count Number
DS_IC_RE - Reconsent,Head1,1,,Header title,0,Informed Consent,,,,,,,,,Optional,,No,No,Yes,,,,,,1
DS_IC_RE - Reconsent,ICDAT,1,ICDAT,Date,5,Date of Consent (from DS_IC),,,,,,,,,Optional,,No,Yes,Yes,,,,,,1
DS_IC_RE - Reconsent,Table1,1,,Table of items,4,,,,,,,,,,Optional,,No,No,Yes,,,,,,1
DV - Protocol Deviations,DVASSESS,1,DVASSESS,Drop-down list,4,Related Assessment,,Assessment Names,,,,,,,Confirmable,,No,No,No,,,,,,1
DV - Protocol Deviations,DVDECOD,1,DVDECOD,Drop-down list,11,Deviation Category,,Deviation Category,,,,,,,Confirmable,,No,No,No,,,,,,1
DV - Protocol Deviations,DVDECOD_OTH,1,DVDECOD_OTH,Text memo,12,Specify Other Category,,,,,,,,,Confirmable,,No,No,No,,,,,,1
DV - Protocol Deviations,DVDESC,1,DVDESC,Text memo,10,"Detailed Deviation Narrative (include details relating to the source of the deviation,
its impact on the study, and the immediate action taken)",,,,,,,,,Confirmable,,No,No,No,,,,,,1
DV - Protocol Deviations,DVHRECNOT,1,DVHRECNOT,List of values,-1,Was HREC notification required?,,Yes/No-CDISC,,,,,,,Confirmable,,No,No,No,,tHRECN,,1,1,1
DV - Protocol Deviations,DVHRECNOTDAT,1,DVHRECNOTDAT,Date,-1,HREC Notification Date,,,,,,,,,Confirmable,,No,No,No,,tHRECN,,1,2,1
DV - Protocol Deviations,DVOUTC,1,DVOUTC,Text memo,13,Outcome / Corrective Action,,,,,,,,,Confirmable,,No,No,No,,,,,,1
DV - Protocol Deviations,DVPTSAFE,1,DVPTSAFE,List of values,6,Was patient safety compromised?,,Yes/No-CDISC,,,,,,,Confirmable,,No,No,No,,,,,,1
DV - Protocol Deviations,DVSPID,1,DVSPID,Integer,2,Protocol Deviation Number,,,,,,,,,Optional,,No,No,No,,,,,,1
DV - Protocol Deviations,DVSPNOT,1,DVSPNOT,List of values,-1,Was Sponsor notification required?,,Yes/No-CDISC,,,,,,,Confirmable,,No,No,No,,tSN,,1,1,1
DV - Protocol Deviations,DVSPNOTDAT,1,DVSPNOTDAT,Date,-1,Sponsor Notification Date,,,,,,,,,Confirmable,,No,No,No,,tSN,,1,2,1
DV - Protocol Deviations,DVSTDAT,1,DVSTDAT,Date,5,Date of Deviation,,,,,,,,,Confirmable,,No,No,No,,,,,,1
DV - Protocol Deviations,DVTERM,1,DVTERM,Text memo,9,Short Deviation Summary,,,,,,,,,Confirmable,,No,No,No,,,,,,1
DV - Protocol Deviations,DVVISIT,1,DVVISIT,Drop-down list,3,Related Visit,,Visit Names,,,,,,,Confirmable,,No,No,No,,,,,,1
DV - Protocol Deviations,DVYN,1,DVYN,List of values,1,Did a protocol deviation occur?,,Yes/No-CDISC,,,,,,,Required,,No,No,No,,,,,,1
DV - Protocol Deviations,Head1,1,,Header title,0,Protocol Deviation,,,,,,,,,Optional,,No,No,Yes,,,,,,1
DV - Protocol Deviations,tHRECN,1,,Table of items,8,,,,,,,,,,Optional,,No,No,Yes,,,,,,1
DV - Protocol Deviations,tSN,1,,Table of items,7,,,,,,,,,,Optional,,No,No,Yes,,,,,,1
EG - Electrocardiogram,EGASSESS,1,EGASSESS,List of values,18,Overall assessment of the ECG,,Normal/Abnormal Assessment,,,,,,,Confirmable,,No,No,No,,,,,,1
EG - Electrocardiogram,EGCLSIG,1,EGCLSIG,List of values,19,Were the abnormality(s) clinically significant?,,Yes/No-CDISC,,,,,,,Confirmable,,No,No,No,,,,,,1
EG - Electrocardiogram,EGDAT,1,EGDAT,Date,3,Date Performed,,,,,,,,,Confirmable,,No,No,No,,,,,,1
EG - Electrocardiogram,EGFINDLIST,1,EGFINDLIST,Text memo,15,List other notable ECG findings,,,,,,,,,Confirmable,,No,No,No,,,,,,1
EG - Electrocardiogram,EGORRES_HR,1,EGORRES_HR,Integer,7,Heart Rate,bpm,,30,200,0,999,3,,Confirmable,,No,No,No,,,,,,1
EG - Electrocardiogram,EGORRES_PR,1,EGORRES_PR,Integer,8,PR Interval,msec,,,,0,,3,,Confirmable,,No,No,No,,,,,,1
EG - Electrocardiogram,EGORRES_QRS,1,EGORRES_QRS,Integer,9,QRS Duration,msec,,,,0,,3,,Confirmable,,No,No,No,,,,,,1
EG - Electrocardiogram,EGORRES_QT,1,EGORRES_QT,Integer,10,QT Interval,msec,,,,0,,3,,Confirmable,,No,No,No,,,,,,1
EG - Electrocardiogram,EGORRES_QTCF,1,EGORRES_QTCF,Integer,11,QTcF Interval,msec,,,,0,,3,,Confirmable,,No,No,No,,,,,,1
EG - Electrocardiogram,EGOTHFIND,1,EGOTHFIND,List of values,14,Were there any other notable ECG findings?,,Yes/No-CDISC,,,,,,,Confirmable,,No,No,No,,,,,,1
EG - Electrocardiogram,EGPERF,1,EGPERF,List of values,1,Was an ECG Performed?,,Yes/No-CDISC,,,,,,,Required,,No,No,No,,,,,,1
EG - Electrocardiogram,EGREASND,1,EGREASND,Text memo,2,Reason ECG not performed,,,,,,,,,Confirmable,,No,No,No,,,,,,1
EG - Electrocardiogram,EGTIM,1,EGTIM,Time,4,Time ECG Taken,,,,,,,,,Confirmable,,No,No,No,,,,,,1
EG - Electrocardiogram,Head1,1,,Header title,0,Electrocardiogram,,,,,,,,,Optional,,No,No,Yes,,,,,,1
EG - Electrocardiogram,Head2,1,,Header title,6,Result,,,,,,,,,Optional,,No,No,Yes,,,,,,1
EG - Electrocardiogram,Head3,1,,Header title,17,Assessment,,,,,,,,,Optional,,No,No,Yes,,,,,,1
EG - Electrocardiogram,Head4,1,,Header title,13,Other Notable Findings,,,,,,,,,Optional,,No,No,Yes,,,,,,1
EG - Electrocardiogram,v1,1,,Line feed,5,,,,,,,,,,,,No,No,Yes,,,,,,1
EG - Electrocardiogram,v2,1,,Line feed,12,,,,,,,,,,,,No,No,Yes,,,,,,1
EG - Electrocardiogram,v3,1,,Line feed,16,,,,,,,,,,,,No,No,Yes,,,,,,1
IE - Eligibility,IECAT,1,IECAT,Drop-down list,-1,Criterion category patient failed on,,CDISC IE Category,,,,,,,Confirmable,,No,No,No,,Table1,,1,1,1
IE - Eligibility,IETESTCD,1,IETESTCD,Drop-down list,-1,Criterion number patient failed on,,IE Criteria,,,,,,,Confirmable,,No,No,No,,Table1,,1,2,1
IE - Eligibility,Table1,1,,Table of items,0,,,,,,,,,,Optional,,No,No,Yes,,,,,,1
IE_SUM - Eligibility Review,Eligibility,1,Eligibility,Sub-Form,6,,,,,,,,,,Confirmable,,No,No,No,,,IE,,,1
IE_SUM - Eligibility Review,Head1,1,,Header title,0,Eligibility Review,,,,,,,,,Optional,,No,No,Yes,,,,,,1
IE_SUM - Eligibility Review,IEDAT,1,IEDAT,Date,3,Date of Review,,,,,,,,,Confirmable,,No,No,No,,,,,,1
IE_SUM - Eligibility Review,IEPERF,1,IEPERF,List of values,1,Was eligibility review performed?,,Yes/No-CDISC,,,,,,,Required,,No,No,No,,,,,,1
IE_SUM - Eligibility Review,IEREASND,1,IEREASND,Text memo,2,Reason eligibility review not performed,,,,,,,,,Confirmable,,No,No,No,,,,,,1
IE_SUM - Eligibility Review,IEYN,1,IEYN,List of values,5,Was the patient eligible for the study?,,Yes/No-CDISC,,,,,,,Confirmable,,No,No,No,,,,,,1
IE_SUM - Eligibility Review,v1,1,,Line feed,4,,,,,,,,,,,,No,No,Yes,,,,,,1
LB_PREG - Pregnancy Test,Head1,1,,Header title,0,Pregnancy Test,,,,,,,,,,,No,No,Yes,,,,,,1
LB_PREG - Pregnancy Test,LBDAT_PREG,1,LBDAT_PREG,Date,3,Sample collection date,,,,,,,,,Confirmable,,No,No,No,,,,,,1
LB_PREG - Pregnancy Test,LBORRES_PREG,1,LBORRES_PREG,List of values,6,Result,,Pregnancy Positive/Negative/Indeterminate-CDISC,,,,,,,Confirmable,,No,No,No,,,,,,1
LB_PREG - Pregnancy Test,LBPERF_PREG,1,LBPERF_PREG,List of values,1,Was a pregnancy test performed?,,Yes/No-CDISC,,,,,,,Required,,No,No,No,,,,,,1
LB_PREG - Pregnancy Test,LBREASND_PREG,1,LBREASND_PREG,Text memo,2,Reason test not done,,,,,,,,,Confirmable,,No,No,No,,,,,,1
LB_PREG - Pregnancy Test,LBSCAT_PREG,1,LBSCAT_PREG,List of values,5,Sample type,,Pregnancy Test Sub-Categories,,,,,,,Confirmable,,No,No,No,,,,,,1
LB_PREG - Pregnancy Test,LBTIM_PREG,1,LBTIM_PREG,Time,4,Sample collection time,,,,,,,,,Confirmable,,No,No,No,,,,,,1
PR - Procedures / Surgeries,ICDAT,1,ICDAT,Date,5,Main Study Consent Date (from DS_IC),,,,,,,,,Optional,,No,Yes,Yes,,,,,,1
PR - Procedures / Surgeries,LCDAT,1,LCDAT,Date,6,Date of Last Contact (from DS_COMP),,,,,,,,,Optional,,No,Yes,Yes,,,,,,1
PR - Procedures / Surgeries,PRCVOUT,1,PRCVOUT,Drop-down list,-1,Cardioversion outcome:,,PR - Cardioversion Outcomes,,,,,,,Confirmable,,No,No,No,,Table7,,3,1,1
PR - Procedures / Surgeries,PRCVTYP,1,PRCVTYP,Drop-down list,-1,Cardioversion type:,,PR - Cardioversion Types,,,,,,,Confirmable,,No,No,No,,Table7,,2,1,1
PR - Procedures / Surgeries,PRCVYN,1,PRCVYN,Drop-down list,-1,Is it a cardioversion?,,Yes/No-CDISC,,,,,,,Confirmable,,No,No,No,,Table7,,1,1,1
PR - Procedures / Surgeries,PRDAT,1,PRDAT,Date,-1,Date Performed,,,,,,,,,Confirmable,,No,No,No,,Table6,,1,1,1
PR - Procedures / Surgeries,PRINDC,1,PRINDC,Text,-1,Indication Term,,,,,,,,,Confirmable,,No,No,No,,Table4,,1,1,1
PR - Procedures / Surgeries,PRINDC_CAT,1,PRINDC_CAT,Drop-down list,-1,Indication Category,,CM & PR - Indication Categories,,,,,,,Confirmable,,No,No,No,,Table5,,1,1,1
PR - Procedures / Surgeries,PRTRT,1,PRTRT,Text,-1,Procedure / Surgery Name,,,,,,,,,Required,,No,No,No,,Table1,,1,1,1
PR - Procedures / Surgeries,Table1,1,,Table of items,0,Procedure / Surgery Name,,,,,,,,,Optional,,No,No,Yes,,,,,,1
PR - Procedures / Surgeries,Table4,1,,Table of items,3,Indication Term,,,,,,,,,Optional,,No,No,Yes,,,,,,1
PR - Procedures / Surgeries,Table5,1,,Table of items,2,Indication Category,,,,,,,,,Optional,,No,No,Yes,,,,,,1
PR - Procedures / Surgeries,Table6,1,,Table of items,1,Date Performed,,,,,,,,,Optional,,No,No,Yes,,,,,,1
PR - Procedures / Surgeries,Table7,1,,Table of items,4,Cardioversion Details,,,,,,,,,Optional,,No,No,Yes,,,,,,1
PR_SUM - Concomitant Procedures,Head1,1,,Header title,0,Concomitant Procedures,,,,,,,,,,,No,No,Yes,,,,,,1
PR_SUM - Concomitant Procedures,PRLOG,1,PRLOG,Sub-Form,2,,,,,,,,,,Required,,No,No,No,,,PR,,,1
PR_SUM - Concomitant Procedures,PRYN,1,PRYN,List of values,1,Are there any concomitant procedures or surgeries to report for this patient?,,Yes/No-CDISC,,,,,,,Required,,No,No,No,,,,,,1
SV - Study Visit,Head1,1,,Header title,0,Study Visit,,,,,,,,,Optional,,No,No,Yes,,,,,,1
SV - Study Visit,SVDAT,1,SVDAT,Date,5,Date of Visit,,,,,,,,,Confirmable,,No,No,No,,,,,,1
SV - Study Visit,SVNA1,1,SVNA1,Boolean,-1,Visit NRQ - Sub-study visit performed at this time point instead.,,,,,,,,,Optional,,No,No,No,,Table1,,1,1,1
SV - Study Visit,SVNA2,1,SVNA2,Boolean,-1,Visit NRQ - Patient consented to the sub-study but is not participating due to Investigator discretion.,,,,,,,,,Optional,,No,No,No,,Table2,,1,1,1
SV - Study Visit,SVOCCUR,1,SVOCCUR,List of values,3,Was the visit performed?,,Yes/No-CDISC,,,,,,,Required,,No,No,No,,,,,,1
SV - Study Visit,SVREASOC,1,SVREASOC,Text memo,4,Reason visit not performed,,,,,,,,,Confirmable,,No,No,No,,,,,,1
SV - Study Visit,Table1,1,,Table of items,1,,,,,,,,,,Optional,,No,No,Yes,,,,,,1
SV - Study Visit,Table2,1,,Table of items,2,,,,,,,,,,Optional,,No,No,Yes,,,,,,1
SV_UNS - Study Visit,CDDAT,1,CDDAT,Date,7,Completion / Discontinuation Date (from DS_COMP),,,,,,,,,Optional,,No,Yes,Yes,,,,,,1
SV_UNS - Study Visit,Head1,1,,Header title,0,Study Visit,,,,,,,,,Optional,,No,No,Yes,,,,,,1
SV_UNS - Study Visit,ICDAT,1,ICDAT,Date,6,Date of Consent (from DS_IC),,,,,,,,,Optional,,No,Yes,Yes,,,,,,1
SV_UNS - Study Visit,SVDAT,1,SVDAT,Date,2,Date of Visit,,,,,,,,,Confirmable,,No,No,No,,,,,,1
SV_UNS - Study Visit,SVOCCUR,1,SVOCCUR,List of values,1,Was the visit performed?,,Yes/No-CDISC,,,,,,,Required,,No,No,No,,,,,,1
SV_UNS - Study Visit,SVTEST_DSICRE,1,SVTEST_DSICRE,Boolean,-1,Reconsent,,,,,,,,,Optional,,No,No,No,,Table2,,1,1,1
SV_UNS - Study Visit,SVTEST_EG,1,SVTEST_EG,Boolean,-1,Electrocardiogram,,,,,,,,,Optional,,No,No,No,,Table2,,4,1,1
SV_UNS - Study Visit,SVTEST_LBCOAG,1,SVTEST_LBCOAG,Boolean,-1,Clinical Laboratory Test,,,,,,,,,Optional,,No,No,No,,Table2,,12,1,1
SV_UNS - Study Visit,SVTEST_LBPREG,1,SVTEST_LBPREG,Boolean,-1,Pregnancy Test,,,,,,,,,Optional,,No,No,No,,Table2,,3,1,1
SV_UNS - Study Visit,SVTEST_OTH,1,SVTEST_OTH,Boolean,-1,Other,,,,,,,,,Optional,,No,No,No,,Table2,,15,1,1
SV_UNS - Study Visit,SVTEST_OTH_DESC,1,SVTEST_OTH_DESC,Text memo,5,"Description of 'Other' assessments not possible to be captured on above forms (include the date and time of the assessment / sample collection and the outcome / result, if applicable)",,,,,,,,,Confirmable,,No,No,No,,,,,,1
SV_UNS - Study Visit,SVTEST_PENEURO,1,SVTEST_PENEURO,Boolean,-1,Neurological Examination,,,,,,,,,Optional,,No,No,No,,Table2,,14,1,1
SV_UNS - Study Visit,SVTEST_VSHTWT,1,SVTEST_VSHTWT,Boolean,-1,"Height, Weight and BMI",,,,,,,,,Optional,,No,No,No,,Table2,,2,1,1
SV_UNS - Study Visit,SVUPDES,1,SVUPDES,Text memo,3,Reason for Unscheduled Visit / Assessment,,,,,,,,,Confirmable,,No,No,No,,,,,,1
SV_UNS - Study Visit,Table2,1,,Table of items,4,Check all assessments that were performed as part of this unscheduled visit,,,,,,,,,Optional,,No,No,Yes,,,,,,1
"VS_HTWT - Height, Weight & BMI",Head1,1,,Header title,0,"Height, Weight and BMI",,,,,,,,,Optional,,No,No,Yes,,,,,,1
"VS_HTWT - Height, Weight & BMI",Table1,1,,Table of items,5,,,,,,,,,,Optional,,No,No,Yes,,,,,,1
"VS_HTWT - Height, Weight & BMI",VSDAT_HTWT,1,VSDAT_HTWT,Date,2,Date of measurement,,,,,,,,,Confirmable,,No,No,No,,,,,,1
"VS_HTWT - Height, Weight & BMI",VSORRES_BMI,1,VSORRES_BMI,Real,-1,BMI,kg/m2,,,,,,4,1,Optional,,No,No,No,,Table1,,3,1,1
"VS_HTWT - Height, Weight & BMI",VSORRES_HEIGHT,1,VSORRES_HEIGHT,Real,-1,Height,metres,,,,0,3,4,2,Confirmable,,No,No,No,,Table1,,1,1,1
"VS_HTWT - Height, Weight & BMI",VSORRES_WEIGHT,1,VSORRES_WEIGHT,Real,-1,Weight,kilograms,,,,0,500,5,1,Confirmable,,No,No,No,,Table1,,2,1,1
"VS_HTWT - Height, Weight & BMI",VSPERF_HTWT,1,VSPERF_HTWT,List of values,1,Were height and weight measurements performed for BMI calculation?,,Yes/No-CDISC,,,,,,,Required,,No,No,No,,,,,,1
"VS_HTWT - Height, Weight & BMI",VSREASND_HTWT,1,VSREASND_HTWT,Text memo,4,Reason height and weight not measured,,,,,,,,,Confirmable,,No,No,No,,,,,,1
"VS_HTWT - Height, Weight & BMI",VSTIM_HTWT,1,VSTIM_HTWT,Time,3,Time of measurement,,,,,,,,,Confirmable,,No,No,No,,,,,,1
